Item Type,Publication Year,Author,Title,Publication Title,Pages,Volume,First Author Last Name,First Author First Name
journalArticle,2009,"Hsieh, Ming-Li; Huang, Shih-Tsung; Huang, Hsin-Chieh; Chen, Yu; Hsu, Yu-Chao",The reliability of ultrasonographic measurements for testicular volume assessment: Comparison of three common formulas with true testicular volume,Asian Journal of Andrology,261-265,11,Hsieh,Ming-Li
journalArticle,2021,"Hsu, Nina S; Rezai-zadeh, K Paul; Tennekoon, Michael S; Korn, Stephen J",Myths and facts about getting an academic faculty position in neuroscience,Science Advances,eabj2604,7,Hsu,Nina S
journalArticle,2009,"Hu, Cheng-Heng; Huang, Chi-Chun; Hung, Kuo-Hsiang; Hsu, Tsai-Wen; Chiang, Tzen-Yuh",Isolation and characterization of polymorphic microsatellite loci from Areca catechu (Arecaceae) using PCR-based isolation of microsatellite arrays,Molecular Ecology Resources,658-660,9,Hu,Cheng-Heng
journalArticle,2015,"Hu, Dongmei; Hu, Siyi; Wan, Wen; Xu, Man; Du, Ruikai; Zhao, Wei; Gao, Xiaolian; Liu, Jing; Liu, Haiyan; Hong, Jiong",Effective optimization of antibody affinity by phage display integrated with high-throughput DNA synthesis and sequencing technologies,PLOS ONE,e0129125,10,Hu,Dongmei
journalArticle,2018,"Huang, Jonathan Y; King, Nicholas B",Epigenetics changes nothing: What a new scientific field does and does not mean for ethics and social justice,Public Health Ethics,69-81,11,Huang,Jonathan Y
journalArticle,2021,"Huang, Shan; Farrell, Maxwell; Stephens, Patrick R",Infectious disease macroecology: Parasite diversity and dynamics across the globe,Philosophical Transactions of the Royal Society B: Biological Sciences,20200350,376,Huang,Shan
journalArticle,1998,"Huang, W; Fu, Y; Chang, B; Gu, X; Jorde, L; Li, W",Sequence variation in ZFX introns in human populations,Molecular Biology and Evolution,138-142,15,Huang,W
journalArticle,2016,"Huang, Zixia; Gallot, Aurore; Lao, Nga T; Puechmaille, Sébastien J; Foley, Nicole M; Jebb, David; Bekaert, Michaël; Teeling, Emma C","A nonlethal sampling method to obtain, generate and assemble whole blood transcriptomes from small, wild mammals",Molecular Ecology Resources,150-162,16,Huang,Zixia
journalArticle,2017,"Hubbard, Amelia R",Testing common misconceptions about the nature of human racial variation,The American Biology Teacher,538-543,79,Hubbard,Amelia R
journalArticle,2017,"Hubbard, Amelia R",Teaching race (bioculturally) matters: A visual approach for college biology courses,The American Biology Teacher,516-524,79,Hubbard,Amelia R
journalArticle,2020,"Hubbard, Amelia R; Monnig, Laurel A",Using anthropological principles to transform the teaching of human “difference” and genetic variation in college classrooms,Science & Education,1541-1565,29,Hubbard,Amelia R
journalArticle,1991,"Hubbard, Gene; Lee, D; Eichberg, Jorg",Diseases and pathology of chimpanzees at the southwest foundation for biomedical research,American Journal of Primatology,273-282,24,Hubbard,Gene
journalArticle,2019,"Hubbard, Raymond; Haig, Brian D; Parsa, Rahul A",The limited role of formal statistical inference in scientific inference,The American Statistician,91-98,73,Hubbard,Raymond
journalArticle,1979,"Hubbell, S","Tree dispersion, abundance, and diversity in a tropical dry forest",Science,1299-1309,203,Hubbell,S
journalArticle,1999,"Hubbell, S P; Foster, R B; O'Brien, S T; Harms, K E; Condit, R; Wechsler, B; Wright, S J; Loo de Lao, S","Light-gap disturbances, recruitment limitation, and tree diversity in a Neotropical forest",Science,554-557,283,Hubbell,S P
journalArticle,2013,"Hubbell, Stephen P",Tropical rain forest conservation and the twin challenges of diversity and rarity,Ecology and Evolution,n/a-n/a,,Hubbell,Stephen P
journalArticle,2003,"Huber, M","Eocene El Nino: Evidence for Robust Tropical Dynamics in the ""Hothouse""",Science,877-881,299,Huber,M
journalArticle,2020,"Hubisz, Melissa J; Williams, Amy L; Siepel, Adam",Mapping gene flow between ancient hominins through demography-aware inference of the ancestral recombination graph,PLOS Genetics,e1008895,16,Hubisz,Melissa J
journalArticle,1984,"Hubrecht, R","Field observations on group size and composition of the common marmoset (Callithrix jacchus jacchus) at Tapacura, Brazil",Primates,13-21,25,Hubrecht,R
journalArticle,1985,"Hubrecht, R","Home-range size and use and territorial behavior in the common marmoset, Callithrix jacchus jacchus, at the Tapacura Field Station, Recife, Brazil",International Journal of Primatology,533-550,6,Hubrecht,R
journalArticle,2013,"Huchard, Elise; Albrecht, Christina; Schliehe-Diecks, Susanne; Baniel, Alice; Roos, Christian; Kappeler, Peter M; Brameier, Markus",Erratum to: Large-scale MHC class II genotyping of a wild lemur population by next generation sequencing,Immunogenetics,905-905,65,Huchard,Elise
journalArticle,2010,"Huchard, Elise; Alvergne, Alexandra; Féjan, Delphine; Knapp, Leslie A; Cowlishaw, Guy; Raymond, Michel",More than friends? Behavioural and genetic aspects of heterosexual associations in wild chacma baboons,Behavioral Ecology and Sociobiology,769-781,64,Huchard,Elise
journalArticle,2013,"Huchard, Elise; Baniel, Alice; Schliehe-Diecks, Susanne; Kappeler, Peter M",MHC-disassortative mate choice and inbreeding avoidance in a solitary primate,Molecular Ecology,4071-4086,22,Huchard,Elise
journalArticle,2009,"Huchard, Elise; Benavides, Julio A; Setchell, Joanna M; Charpentier, Marie J E; Alvergne, Alexandra; King, Andrew J; Knapp, Leslie A; Cowlishaw, Guy; Raymond, Michel",Studying shape in sexual signals: the case of primate sexual swellings,Behavioural Ecology and Sociobiology,1231-1242,63,Huchard,Elise
journalArticle,2006,"Huchard, Elise; Cowlishaw, Guy; Raymond, Michel; Weill, Mylene; Knapp, Leslie A",Molecular study of MHC-DRB in wild chacma baboons reveals high variability and evidence for trans-species inheritance,Immunogenetics,805-816,58,Huchard,Elise
journalArticle,2010,"Huchard, Elise; Knapp, Leslie A; Wang, Jinliang; Raymond, Michel; Cowlishaw, Guy","MHC, mate choice and heterozygote advantage in a wild social primate",Molecular Ecology,2545-2561,19,Huchard,Elise
journalArticle,2014,"Huck, M; Fernandez-Duque, E; Babb, P; Schurr, T",Correlates of genetic monogamy in socially monogamous mammals: Insights from Azara's owl monkeys,Proceedings of the Royal Society Series B: Biological Sciences,article 20140195,281,Huck,M
journalArticle,2004,"Huck, M; Löttker, P; Heymann, E W",The many faces of helping: Possible costs and benefits of infant carrying and food transfer in wild moustached tamarins (<i>Saguinus mystax</i>),Behaviour,915-934,141,Huck,M
journalArticle,2008,"Huck, Maren; Davison, John; Roper, Timothy J",Comparison of two sampling protocols and four home-range estimators using radio-tracking data from urban badgers <i>Meles meles</i>,Wildlife Biology,467-477,14,Huck,Maren
journalArticle,2020,"Huck, Maren; Di Fiore, Anthony; Fernandez-Duque, Eduardo",Of apples and oranges? The evolution of “monogamy” in non-human primates,Frontiers in Ecology and Evolution,article 472,7,Huck,Maren
bookSection,2013,"Huck, Maren; Fernandez-Duque, Eduardo",When dads help: Male behavioral care during primate infant development,Building Babies: Primate Development in Proximate and Ultimate Perspective,361-385,,Huck,Maren
journalArticle,2012,"Huck, Maren; Fernandez-Duque, Eduardo",Children of divorce: Effects of adult replacements on previous offspring in Argentinean owl monkeys,Behavioral Ecology and Sociobiology,505-517,66,Huck,Maren
journalArticle,2017,"Huck, Maren; Fernandez-Duque, Eduardo","The floater's dilemma: Use of space by wild solitary Azara's owl monkeys, <i>Aotus azarae</i>, in relation to group ranges",Animal Behaviour,33-41,127,Huck,Maren
journalArticle,2013,"Huck, Maren; Juárez, Cecilia P; Rotundo, Marcelo A; Fernández-Duque, Eduardo","Primera evidencia craneal y registros documentados de <i>Cuniculus paca</i> (Rodentia, Cuniculidae) para el chaco húmedo",Mastozoología Neotropical,153-157,20,Huck,Maren
journalArticle,2005,"Huck, Maren; Löttker, Petra; Böhle, Uta-Regina; Heymann, Eckhard",Paternity and kinship patterns in polyandrous moustached tamarins (<i>Saguinus mystax</i>),American Journal of Physical Anthropology,449-464,127,Huck,Maren
journalArticle,2004,"Huck, Maren; Löttker, Petra; Heymann, Eckhard W",Proximate mechanisms of reproductive monopolization in male moustached tamarins (<i>Saguinus mystax</i>),American Journal of Primatology,39-56,64,Huck,Maren
journalArticle,2005,"Huck, Maren; Löttker, Petra; Heymann, Eckhard W; Heistermann, Michael",Characterization and social correlates of fecal testosterone and cortisol excretion in wild male <i>Saguinus mystax</i>,International Journal of Primatology,159-179,26,Huck,Maren
journalArticle,2007,"Huck, Maren; Roos, Christian; Heymann, Eckhard W","Spatio-genetic population structure in mustached tamarins, <i>Saguinus mystax</i>",American Journal of Physical Anthropology,576-583,132,Huck,Maren
journalArticle,2011,"Huck, Maren; Rotundo, Marcelo; Fernandez-Duque, Eduardo",Growth and development in wild owl monkeys (<i>Aotus azarai</i>) of Argentina,International Journal of Primatology,1133-1152,32,Huck,Maren
journalArticle,2014,"Huck, Maren; Van Lunenburg, Mari; Dávalos, Victor; Rotundo, Marcelo; Di Fiore, Anthony; Fernandez-Duque, Eduardo",Double effort: Parental behavior of wild Azara's owl monkeys in the face of twins,American Journal of Primatology,629-639,76,Huck,Maren
journalArticle,1982,"Huck, U; Banks, E","Male dominance status, female choice and mating success in the brown lemming, Lemmus trimucronatus",Animal Behaviour,665-675,30,Huck,U
journalArticle,2003,"Hudelot, C; Gowri-Shankar, V; Jow, H; Rattray, M; Higgs, PG",RNA-based phylogenetic methods: application to mammalian mitochondrial RNA sequences,Molecular Phylogenetics and Evolution,241-252,28,Hudelot,C
journalArticle,2013,"Hudson, Lawrence N; Isaac, Nick J B; Reuman, Daniel C",The relationship between body mass and field metabolic rate among individual birds and mammals,Journal of Animal Ecology,1009-1020,82,Hudson,Lawrence N
journalArticle,2020,"Hudson, Maui; Garrison, Nanibaa’ A; Sterling, Rogena; Caron, Nadine R; Fox, Keolu; Yracheta, Joseph; Anderson, Jane; Wilcox, Phil; Arbour, Laura; Brown, Alex; Taualii, Maile; Kukutai, Tahu; Haring, Rodney; Te Aika, Ben; Baynam, Gareth S; Dearden, Peter K; Chagné, David; Malhi, Ripan S; Garba, Ibrahim; Tiffin, Nicki; Bolnick, Deborah; Stott, Matthew; Rolleston, Anna K; Ballantyne, Leah L; Lovett, Ray; David-Chavez, Dominique; Martinez, Andrew; Sporle, Andrew; Walter, Maggie; Reading, Jeff; Carroll, Stephanie Russo","Rights, interests and expectations: Indigenous perspectives on unrestricted access to genomic data",Nature Reviews Genetics,377-384,21,Hudson,Maui
journalArticle,1992,"Hudson, R; Slatkin, M; Maddison, W",Estimation of levels of gene flow from DNA sequence data,Genetics,583-589,132,Hudson,R
journalArticle,1997,"Huelsenbeck, J; Crandall, K",Phylogeny estimation and hypothesis testing using maximum likelihood,"Annual Review of Ecology, Evolution, and Systematics",437-466,28,Huelsenbeck,J
journalArticle,2001,"Huelsenbeck, J; Ronquist, F",MRBAYES: Bayesian inference of phylogeny,Bioinformatics,754-755,17,Huelsenbeck,J
journalArticle,2011,"Huelsenbeck, John P; Andolfatto, Peter; Huelsenbeck, Edna T",Structurama: Bayesian Inference of Population Structure,Evolutionary Bioinformatics,EBO.S6761,7,Huelsenbeck,John P
journalArticle,2003,"Huelsenbeck, JP; Rannala, B",Detecting correlation between characters in a comparative analysis with uncertain phylogeny,Evolution,1237-1247,,Huelsenbeck,JP
journalArticle,2013,"Huerta-Sánchez, Emilia; DeGiorgio, Michael; Pagani, Luca; Tarekegn, Ayele; Ekong, Rosemary; Antao, Tiago; Cardona, Alexia; Montgomery, Hugh E; Cavalleri, Gianpiero L; Robbins, Peter A; Weale, Michael E; Bradman, Neil; Bekele, Endashaw; Kivisild, Toomas; Tyler-Smith, Chris; Nielsen, Rasmus",Genetic signatures reveal high-altitude adaptation in a set of Ethiopian populations,Molecular Biology and Evolution,1877-1888,30,Huerta-Sánchez,Emilia
journalArticle,2014,"Huerta-Sánchez, Emilia; Jin, Xin; Asan; Bianba, Zhuoma; Peter, Benjamin M; Vinckenbosch, Nicolas; Liang, Yu; Yi, Xin; He, Mingze; Somel, Mehmet; Ni, Peixiang; Wang, Bo; Ou, Xiaohua; Huasang; Luosang, Jiangbai; Cuo, Zha Xi Ping; Li, Kui; Gao, Guoyi; Yin, Ye; Wang, Wei; Zhang, Xiuqing; Xu, Xun; Yang, Huanming; Li, Yingrui; Wang, Jian; Wang, Jun; Nielsen, Rasmus",Altitude adaptation in Tibetans caused by introgression of Denisovan-like DNA,Nature,194-197,512,Huerta-Sánchez,Emilia
journalArticle,1947,"Huff, C G",Life cycle of malarial parasites,Annual Review of Microbiology,43-60,1,Huff,C G
journalArticle,1958,"Huffaker, C",Experimental studies on predation: Dispersion factors and predator-prey oscillations,Hilgardia,343-383,27,Huffaker,C
journalArticle,2001,"Huffman, M",Self induced increase of gut motility and the control of parasitic infections in wild chimpanzees,International Journal of Primatology,329-346,22,Huffman,M
journalArticle,1981,"Huffman, M",Preferential mating and partner selection in female Japanese macaques (Macaca fuscata) at Arashiyama,American Journal of Primatology,318-319,1,Huffman,M
journalArticle,1987,"Huffman, M",Mate choice and partner preference in female Japanese monkeys,Primate Research,150,3,Huffman,M
journalArticle,1987,"Huffman, M",Consort intrusion and female mate choice in Japanese macaques (Macaca fuscata),Ethology,221-234,75,Huffman,M
journalArticle,2001,"Huffman, M A",Self-medicative behavior in the African great apes: An evolutionary perspective into the origins of human traditional medicine,BioScience,651-661,51,Huffman,M A
journalArticle,1993,"Huffman, M; Gotoh, S; Izutsu, D; Koshimizu, K","Further observations on the use of the medicinal plant, Vernonia amygdalina (Del) by a wild …",African Study Monographs,227-240,14,Huffman,M
journalArticle,1997,"Huffman, M; Gotoh, S; Turner, L; Hamai, M",Seasonal trends in intestinal nematode infection and medicinal plant use among …,Primates,111-125,38,Huffman,M
journalArticle,1989,"Huffman, M; Seifu, M","Observations on the illnes and consumption of a possibly medicinal plant Vernonia amygdalina (Del.) by a wild chimpanzee in the Mahale Mountains National Park, Tanzania",Primates,51-63,30,Huffman,M
journalArticle,1997,"Huffman, MA",Current evidence for self-medication in primates: a multidisciplinary perspective,Yearbook of Physical Anthropology,171-200,40,Huffman,MA
journalArticle,1992,"Hughes, A",Positive selection and interallelic recombination at the merozoite surface antigen-1 (MSA-1) locus of Plasmodium falciparum,Molecular Biology and Evolution,381-393,9,Hughes,A
journalArticle,1991,"Hughes, A",Circumsporozoite protein genes of malaria Plasmodium falciparum,Journal of Molecular Biology,273-287,195,Hughes,A
journalArticle,2001,"Hughes, A L; Verra, F",Very large long-term effective population size in the virulent human malaria parasite Plasmodium falciparum,Proceedings of the Royal Society Series B: Biological Sciences,1855-1860,268,Hughes,A L
journalArticle,2023,"Hughes, Angus; Ng-Nguyen, Dinh; Clarke, Naomi E; Dyer, Clare E F; Hii, Sze Fui; Clements, Archie C A; Anderson, Roy M; Gray, Darren J; Coffeng, Luc E; Kaldor, John M; Traub, Rebecca J; Vaz Nery, Susana","Epidemiology of soil-transmitted helminths using quantitative PCR and risk factors for hookworm and Necator americanus infection in school children in Dak Lak province, Vietnam",Parasites & Vectors,213,16,Hughes,Angus
journalArticle,1994,"Hughes, Austin L; Hughes, Marianne K; Howell, Carina Y; Nei, Masatoshi; Howard, J C; Higgs, P",Natural selection at the class II major histocompatibility complex loci of mammals,Philosophical Transactions of the Royal Society Series B: Biological Sciences,350-367,346,Hughes,Austin L
journalArticle,1998,"Hughes, Austin L; Yeager, Meredith",Natural selection at major histocompatibility complex loci of vertebrates,Annual Review of Genetics,415-435,32,Hughes,Austin L
journalArticle,2002,"Hughes, Austin; Verra, Federica",Extensive polymorphism and ancient origin of Plasmodium falciparum,Trends in Parasitology,348-351,18,Hughes,Austin
journalArticle,1998,"Hughes, Austin; Verra, Federica",Ancient polymorphism and the hypothesis of a recent bottleneck in the malaria parasite Plasmodium falciparum,Genetics,511-513,150,Hughes,Austin
journalArticle,1988,"Hughes, B O; Duncan, I J H","The notion of ethological ‘need’, models of motivation and animal welfare",Animal Behaviour,1696-1707,36,Hughes,B O
journalArticle,1998,"Hughes, C",Integrating molecular techniques with field methods in studies of social behavior: A revolution results,Ecology,383-399,79,Hughes,C
journalArticle,2006,"Hughes, C E; Eastwood, R J; Donovan Bailey, C",From famine to feast? Selecting nuclear DNA sequence loci for plant species-level phylogeny reconstruction,Philosophical Transactions of the Royal Society Series B: Biological Sciences,211-225,361,Hughes,C E
journalArticle,2019,"Hughes, David P; Libersat, Frederic",Parasite manipulation of host behavior,Current Biology,R45-R47,29,Hughes,David P
journalArticle,2018,"Hughes, David P; Libersat, Frederic",Neuroparasitology of parasite–insect associations,Annual Review of Entomology,471-487,63,Hughes,David P
journalArticle,2001,"Hughes, I",Minireview: Sex differentiation,Endocrinology,3281-3287,142,Hughes,I
journalArticle,2012,"Hughes, Jennifer F; Rozen, Steve",Genomics and genetics of human and primate Y chromosomes,Annual Review of Genomics and Human Genetics,83-108,13,Hughes,Jennifer F
journalArticle,2005,"Hughes, Jennifer F; Skaletsky, Helen; Pyntikova, Tatyana; Minx, Patrick J; Graves, Tina; Rozen, Steve; Wilson, Richard K; Page, David C",Conservation of Y-linked genes during human evolution revealed by comparative sequencing in chimpanzee,Nature,100-103,437,Hughes,Jennifer F
journalArticle,1993,"Hughes, Jessica; Ward, David",Predation risk and distance to cover affect foraging behaviour in Namib Desert gerbils,Animal Behaviour,1243-1245,46,Hughes,Jessica
journalArticle,2003,"Hughes, Karel","The global positioning system, geographical information systems and remote sensing",Field and Laboratory Methods in Primatology: A Practical Guide,57-73,,Hughes,Karel
journalArticle,2023,"Hughes, Liam J; Massam, Mike R; Morton, Oscar; Edwards, Felicity A; Scheffers, Brett R; Edwards, David P",Global hotspots of traded phylogenetic and functional diversity,Nature,351-357,620,Hughes,Liam J
journalArticle,1995,"Hughes, M; Hughes, A",Natural selection on Plasmodium surface proteins,Molecular and Biochemical Parasitology,99-103,71,Hughes,M
journalArticle,2003,"Hughes, SM; Gallup, GG",Sex differences in morphological predictors of sexual behavior Shoulder to hip and waist to hip ratios,Evolution and Human Behavior,173-178,24,Hughes,SM
journalArticle,1984,"Hughes, T",Population dynamics based on individual size rather than age: A general model with a reef coral example,The American Naturalist,778-795,123,Hughes,T
journalArticle,2008,"Hughes, W O H; Oldroyd, B P; Beekman, M; Ratnieks, F L W",Ancestral monogamy shows kin selection is key to the evolution of eusociality,Science,1213-1216,320,Hughes,W O H
journalArticle,1998,"Hugot, J","Phylogeny of neotropical monkeys: The interplay of morphological, molecular, and parasitological data",Molecular Phylogenetics and Evolution,408-413,9,Hugot,J
journalArticle,1999,"Hugot, J P",Primates and their pinworm parasites: The Cameron hypothesis revisited,Systematic Biology,523-546,48,Hugot,J P
journalArticle,1994,"Hugot, J P; Morand, S; Guerrero, R","<i>Trypanoxyuris croizati</i> n. sp. and <i>T. callicebi</i> Hugot & Vaucher, 1985 (Nematoda: Oxyuridae), two vicariant forms parasitic in <i>Callicebus</i> spp. (Primatia, Cebidae)",Systematic Parasitology,35-43,27,Hugot,J P
journalArticle,2022,"Hugot, Jean-Pierre; Feliu, Carlos; Ribas, Alexis",Human parasites as tracers of the evolution of their hosts,"Infection, Genetics and Evolution",105262,100,Hugot,Jean-Pierre
journalArticle,1996,"Hugot, JP; Gardner, SL; Morand, S","The Enterobiinae subfam. nov. (Nematoda, Oxyurida) pinworm parasites of primates and rodents",International Journal for Parasitology,147-159,26,Hugot,JP
journalArticle,2015,"Hui, T-Y J; Burt, A","Estimating effective population size from temporally spaced samples with a novel, efficient maximum-likelihood algorithm",Genetics,285-293,200,Hui,T-Y J
journalArticle,2017,"Huisman, Jisca","Pedigree reconstruction from SNP data: parentage assignment, sibship clustering and beyond",Molecular Ecology Resources,1009-1024,17,Huisman,Jisca
journalArticle,2008,"Huk, T; Winkel, W",Testing the sexy son hypothesis--a research framework for empirical approaches,Behavioral Ecology,456,19,Huk,T
journalArticle,1999,"Hulme, M; Mitchell, J; Ingram, W; Lowe, J; Johns, T; New, M; Viner, D",Climate change scenarios for global impacts studies,Global Environmental Change,S3-S19,9,Hulme,M
journalArticle,2021,"Hülsmann, Lisa; Chisholm, Ryan A; Hartig, Florian",Is variation in conspecific negative density dependence driving tree diversity patterns at large scales?,Trends in Ecology & Evolution,151-163,36,Hülsmann,Lisa
journalArticle,2004,"Human Genome Sequencing Consortium, International",Finishing the euchromatic sequence of the human genome,Nature,931-945,431,Human Genome Sequencing Consortium,International
journalArticle,2001,"Hume, DK; Montgomerie, R",Facial attractiveness signals different aspects of “quality” in women and men,Evolution and Human Behavior,93-112,22,Hume,DK
journalArticle,2003,"Hume, Jennifer; Lyons, Emily; Day, Karen","Human migration, mosquitoes and the evolution of Plasmodium falciparum",Trends in Parasitology,144-149,19,Hume,Jennifer
journalArticle,2006,"Hume, Johanna M; Wynne-Edwards, Katherine E",Paternal responsiveness in biparental dwarf hamsters (Phodopus campbelli) does not require estradiol,Hormones and Behavior,538-544,49,Hume,Johanna M
journalArticle,2002,"Humle, T; Matsuzawa, T","Ant-dipping among the chimpanzees of Bossou, Guinea, and some comparisons with other sites",American Journal of Primatology,133-148,58,Humle,T
journalArticle,2009,"Humle, Tatyana; Matsuzawa, Tetsuro","Laterality in hand use across four tool-use behaviors among the wild chimpanzees of Bossou, Guinea, West Africa",American Journal of Primatology,40-48,71,Humle,Tatyana
journalArticle,2008,"Humphrey, Louise T; Dirks, Wendy; Dean, M Christopher; Jeffries, Teresa E",Tracking dietary transitions in weanling baboons (Papio hamadryas anubis) using strontium/calcium ratios in enamel,Folia Primatologica,197-212,79,Humphrey,Louise T
journalArticle,2017,"Hung, Jui-Hung; Weng, Zhiping",Mapping billions of short reads to a reference genome,Cold Spring Harbor Protocols,pdb.top093153,2017,Hung,Jui-Hung
journalArticle,2017,"Hung, Lin W; Neuner, Sophie; Polepalli, Jai S; Beier, Kevin T; Wright, Matthew; Walsh, Jessica J; Lewis, Eastman M; Luo, Liqun; Deisseroth, Karl; Dölen, Gül; Malenka, Robert C",Gating of social reward by oxytocin in the ventral tegmental area,Science,1406-1411,357,Hung,Lin W
journalArticle,2016,"Hunley, Keith L; Cabana, Graciela S; Long, Jeffrey C",The apportionment of human diversity revisited,American Journal of Physical Anthropology,561-569,160,Hunley,Keith L
journalArticle,2009,"Hunley, Keith L; Healy, Meghan E; Long, Jeffrey C","The global pattern of gene identity variation reveals a history of long-range migrations, bottlenecks, and local mate exchange: Implications for biological race",American Journal of Physical Anthropology,35-46,139,Hunley,Keith L
journalArticle,1995,"Hunt, D; Cowling, J; Patel, R; Appukuttan, B; Bowmaker, J; Mollon, J",Sequence and evolution of the blue cone pigment gene in Old and New World primates,Genomics,535-538,27,Hunt,D
journalArticle,1981,"Hunt, E",The old physical anthropology,American Journal of Physical Anthropology,339-346,56,Hunt,E
journalArticle,1991,"Hunt, K",Positional Behavior in Hominoidea,International Journal of Primatology,95-113,12,Hunt,K
journalArticle,1994,"Hunt, K",The Evolution of Human Bipedality Ecology and Functional Morphology,Journal of Human Evolution,183-202,26,Hunt,K
journalArticle,1978,"Hunt, Susan M; Gamache, Katy M; Lockard, Joan S",Babysitting behavior by age/sex classification in squirrel monkeys (Saimiri sciureus),Primates,179-186,19,Hunt,Susan M
journalArticle,1987,"Hunte, W; Horrocks, J",Kin and non-kin interventions in the aggressive disputes of vervet monkeys,Behavioural Ecology and Sociobiology,257-263,20,Hunte,W
journalArticle,1999,"Hunter, N",Prion diseases and the central dogma of molecular biology,Trends in Microbiology,265-266,7,Hunter,N
journalArticle,2014,"Hunter, P",The genetics of human migrations: Our ancestors migration out of Africa has left traces in our genomes that explain how they adapted to new environments,EMBO Reports,1019-1022,15,Hunter,P
journalArticle,2009,"Hunter, Philip",Extended phenotype redux: How far can the reach of genes extend in manipulating the environment of an organism?,EMBO reports,212-215,10,Hunter,Philip
journalArticle,2018,"Hunter, Philip",The genetics of domestication: Research into the domestication of livestock and companion animals sheds light both on their “evolution” and human history,EMBO reports,201-205,19,Hunter,Philip
journalArticle,1984,"Huntingford, Felicity A",Some ethical issues raised by studies of predation and aggression,Animal Behaviour,210-215,32,Huntingford,Felicity A
journalArticle,1993,"Huntington, F",Behavioral mechanisms in evolutionary perspective,Trends In Ecology & Evolution,81-84,8,Huntington,F
journalArticle,1989,"Huntress, S; Loskutoff, N; Raphael, B; Yee, B; Bowsher, T; Putman, J; Kraemer, D",Pronucleus formation following in vitro fertilization of oocytes recovered from a gorilla (Gorilla gorilla gorilla) with unilateral endometrioid adenocarcinoma of the ovary,American Journal of Primatology,259-266,18,Huntress,S
journalArticle,2005,"Hurd, Peter L; Enquist, Magnus",A strategic taxonomy of biological communication,Animal Behaviour,1155-1170,70,Hurd,Peter L
journalArticle,1984,"Hurlbert, S",Pseudoreplication and the design of ecological field experiments,Ecological Monographs,187-211,54,Hurlbert,S
journalArticle,2007,"Hurle, Belen; Swanson, Willie; Green, Eric D",Comparative sequence analyses reveal rapid and divergent evolutionary changes of the WFDC locus in the primate lineage,Genome Research,276-286,17,Hurle,Belen
journalArticle,2004,"Hurles, Matthew",Gene duplication: The genomic trade in spare parts,PLoS Biology,e206,2,Hurles,Matthew
journalArticle,2008,"Hurles, Matthew E; Dermitzakis, Emmanouil T; Tyler-Smith, Chris",The functional impact of structural variation in humans,Trends in Genetics,238-245,24,Hurles,Matthew E
journalArticle,2001,"Hurles, Matthew; Jobling, Mark",Haploid chromosomes in molecular ecology: Lessons from the human Y,Molecular Ecology,1599-1613,10,Hurles,Matthew
journalArticle,1987,"Hurov, Jack",Terrestrial locomotion and back anatomy in vervets (Cercopithecus aethiops) and patas monkeys (Erythrocebus patas),American Journal of Primatology,297-311,13,Hurov,Jack
journalArticle,2001,"Hurst, G D; Werren, J H",The role of selfish genetic elements in eukaryotic evolution.,Nature Reviews Genetics,597-606,2,Hurst,G D
journalArticle,1993,"Hurst, L",Embryonic growth and the evolution of the mammalian Y chromosome. I. The Y as an attractor for selfish growth factors,Heredity,223-232,73,Hurst,L
bookSection,1992,"Hurtado, A Magdalena; Hill, Kim R",Chapter 2: Paternal effect on offspring survivorship among Ache and Hiwi hunter-gatherers: Implications for modelling pair-bond stability,Father-Child Relations: Cultural and Biosocial Contexts,31-55,,Hurtado,A Magdalena
journalArticle,1992,"Hurtado, A; Hill, K; Kaplan, H; Hurtado, I",Trade-offs between female food acquisition and child care among Hiwi and Ache foragers,Human Nature,185-216,3,Hurtado,A
journalArticle,1999,"Huse, G; Strand, E; Giske, J",Implementing behaviour in individual-based models using neural networks and genetic algorithms,Evolutionary Ecology,469-483,13,Huse,G
journalArticle,2019,"Husein, Ismail; Mawengkang, Herman; Suwilo, Saib; Mardiningsih",Modeling the transmission of infectious disease in a dynamic network,Journal of Physics: Conference Series,12052,1255,Husein,Ismail
journalArticle,2007,"Huson, D H; Auch, A F; Qi, J; Schuster, S C",MEGAN analysis of metagenomic data,Genome Research,377-386,17,Huson,D H
journalArticle,2006,"Huson, Daniel H; Bryant, David",Application of phylogenetic networks in evolutionary studies,Molecular Biology and Evolution,254-267,23,Huson,Daniel H
journalArticle,2007,"Huson, Daniel H; Richter, Daniel C; Rausch, Christian; Dezulian, Tobias; Franz, Markus; Rupp, Regula",Dendroscope: An interactive viewer for large phylogenetic trees,BMC Bioinformatics,460,8,Huson,Daniel H
journalArticle,1988,"Huston, M; DeAngelis, D; Post, W",New computer models unify ecological theory,BioScience,682-691,38,Huston,M
journalArticle,2009,"Huston, Michael A; Wolverton, Steve",The global distribution of net primary production: Resolving the paradox,Ecological monographs,343–377,79,Huston,Michael A
journalArticle,2011,"Huston, Michael A; Wolverton, Steve","Regulation of animal size by eNPP, Bergmann's rule and related phenomena",Ecological Monographs,349–405,81,Huston,Michael A
journalArticle,1999,"Hutagalung, R; Wilairatana, P; Looareesuwan, S; Brittenham, G; Aikawa, M; Gordeuk, V",Influence of hemoglobin E trait on the severity of Falciparum malaria,Journal of Infectious Disease,283-286,179,Hutagalung,R
